part_no,Part name,slno,section name,total electors,total part votes
161,"C.S.IHighSchool,Kamarajanarroad,Attur-636102,TerracedSouthBuildingFacingEastSouthWingRoomNo.2",1,"1-Attur(M),Ward8,NehrunagarMunicipalColony 1",685,69
161,"C.S.IHighSchool,Kamarajanarroad,Attur-636102,TerracedSouthBuildingFacingEastSouthWingRoomNo.2",2,"2-Attur(M),Ward22,KamarajanarRoad 84",685,6
161,"C.S.IHighSchool,Kamarajanarroad,Attur-636102,TerracedSouthBuildingFacingEastSouthWingRoomNo.2",3,"3-Attur(M),Ward22,RanipetBazaarStreet 90",685,97
161,"C.S.IHighSchool,Kamarajanarroad,Attur-636102,TerracedSouthBuildingFacingEastSouthWingRoomNo.2",4,"4-Attur(M),Ward9,MarimuthuRoad 182",685,513
162,"R.C.MiddleSchool-EastMadhaKovilStreetAttur-636102,TerracedNorthBuildingFacingSouthWestWing",1,"1-Attur(M),Ward9,MaryStreet 1",432,80
162,"R.C.MiddleSchool-EastMadhaKovilStreetAttur-636102,TerracedNorthBuildingFacingSouthWestWing",2,"2-Attur(m),Ward9,alexandarstreet 78",432,132
162,"R.C.MiddleSchool-EastMadhaKovilStreetAttur-636102,TerracedNorthBuildingFacingSouthWestWing",3,"3-Attur(M),Ward9,SeethaKesavanStreet 204",432,220
163,"NationalAidedMiddleSchool-ThayumanavarStreetAttur-636102,TiledBuildingFacingNorthEastWing",1,"1-Attur(M),Ward10,WestMathakoilSt.PannerSelvamSt. 1",873,367
163,"NationalAidedMiddleSchool-ThayumanavarStreetAttur-636102,TiledBuildingFacingNorthEastWing",2,"2-Attur(M),Ward10,EastMadhakoilStreet 356",873,105
163,"NationalAidedMiddleSchool-ThayumanavarStreetAttur-636102,TiledBuildingFacingNorthEastWing",3,"3-Attur(M),Ward10,RanipetBazaarStreet 460",873,44
163,"NationalAidedMiddleSchool-ThayumanavarStreetAttur-636102,TiledBuildingFacingNorthEastWing",4,"4-Attur(M),Ward10,PoongolarStreet 500",873,127
163,"NationalAidedMiddleSchool-ThayumanavarStreetAttur-636102,TiledBuildingFacingNorthEastWing",5,"5-Attur(M),Ward10,KailasanatharKoilStreet 624",873,230
